name,address_1,address_2,city,state,zip,phone,latitude,longitude,website,fm_id,notes,created_date,created_login_id,modified_date,modified_login_id,submitted_date,submitted_login_id,requirements,admin_notes,inactive,parent_organization,physical_access,email,items,services,facebook,twitter,pinterest,linkedin,description,approved_date,reviewed_login_id,assigned_login_id,agency_type,assigned_date,review_notes,claimed_login_id,claimed_date,instagram,admin_contact_name,admin_contact_phone,admin_contact_email,donation_contact_name,donation_contact_phone,donation_contact_email,donation_pickup,donation_accept_frozen,donation_accept_refrigerated,donation_accept_perishable,donation_schedule,donation_delivery_instructions,covid_notes,donation_notes,category_notes,eligibility_notes,food_types,languages,v_name,v_categories,v_address,v_email,v_phone,v_hours,verification_status_id,inactive_temporary,hours,category_ids,neighborhood_id,complete_critical_percent,tenant_id
Ka Hale Ake Ola,670 Waiale Road,,Wailuku,HI,96793,(808) 242-7600,,,https://www.khako.org/,,Monday and Wednesdays 1 pm - 3 pm-,,,,,,,,ID is required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Salvation Army- Kahului Corps Family Services,,,Kahului,HI,96732,808-877-6757,,,,,Thursday: 9 am - 12pm (By appointment)-,,,,,,,,"Documentation Needed: Proof of identification, low income status, and residence required",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Wailuku Church of God,2123 Kahookele Street,,Wailuku,HI,96793,(808) 264-0435,,,http://www.cog-hawaii.org/churches/wailuku.htm,,,,,,,,,,"Serves Lahaina, Kihei, and Central areas on Maui-- * Make sure you check by calling the food pantry to confirm that they still are in operation and the hours as the hours have not changed-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Wailuku Union Church,327 S High Street,,Wailuku,HI,96793,808-244-9177,,,,,Saturday: 8:30 am - 11:30 am,,,,,,,,"Must be a resident of Paia, Wailuku, or Kahului- Picture I-D- and proof of residency are required to receive assistance-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Maui Food Bank,760 Kolu Street,,Wailuku,HI,96793, (808) 243-9500,,,https://mauifoodbank.org/food-distribution/,,,,,,,,,,Works with other nonprofits for distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Lahaina Salvation Army- Lahainia Corps,135 Shaw St,,Lahaina,HI,96761,(808) 661-5335,,,,,Thursday: 9 am - 1:30 pmThursday: 9 am - 1:30 pm,,,,,,,,"Need to bring verification of income, identification, and proof of emergency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Bank,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Hale Kau Kau,25 W Lipoa St,,Kihei ,HI,96753,(808) 875-8754,,,,,"5 to 6 p-m- every week night; and on weekends, 4:30 to 5:30 p-m-",,,,,,,,"Dinner is served to all for free, no questions asked",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Bank,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Save the FoodBasket (Gregory House Programs),"200 N Vineyard Blvd, Suite A310",,Honolulu,HI,96817,(808) 744-6377,,,http://gregoryhouse.org/save-the-foodbasket/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dinner for Free,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Angel Network Charities LLC,5339 Kalanianaole Hwy,,Honolulu,HI,96821,(808) 377-1841,,,https://www.angelnetworkcharities.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food delivery to house-bound individuals living with HIV/AIDS,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Cedar Assembly of God,620 Waipa Lane,,Honolulu,HI,96817,(808) 226-5394,,,http://www.cedaraog.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Central Samoan Assembly of God,3544 Kalihi St,,Honolulu,HI,96819,(808) 888-0960,,,https://www.facebook.com/CentralSaog/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Community Church of Honolulu,2345 Nuuanu Ave,,Honolulu,HI,96817,(808) 595-7541,,,http://www.cchonolulu.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Faamanatu Ministry,4867 Bougainville Dr,,Honolulu,HI,96818,(808) 688-4804,,,https://www.facebook.com/faamanatuministry/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
First Presbyterian Church of Honolulu,45-550 Kionaole Rd,,Honolulu,HI,96744,(808) 532-1111,,,https://www.fpchawaii.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
First United Methodist Church,1020 S Beretania St,,Honolulu,HI,96814,(808) 522-9555,,,https://firstumchonolulu.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Harbor Church Honolulu,423 Kamakee St,,Honolulu,HI,96814,(808) 447-9269,,,https://harborhonolulu.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Hawaii Cedar Church,1545 Kamehameha IV Rd,,Honolulu,HI,96819,(808) 255-1234,,,https://www.facebook.com/pages/Hawaii-Cedar-Church/111590832209544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Hawaii Foodbank,2611 Kilihau St,,Honolulu,HI,96819,(808) 836-3600,,,https://hawaiifoodbank.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Honolulu Central Seventh-Day Adventist Church,2313 Nuuanu Ave,,Honolulu,HI,96817,(808) 524-1352,,,https://www.honcentralsda.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Immaculate Conception Church,91-1298 Renton Rd,,Ewa Beach,HI,96706,(808) 681-3701,,,https://www.immaculateconceptionewa.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Kaumakapili Church,766 N King St,,Honolulu,HI,96819,(808) 845-0908,,,http://www.kaumakapili.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Legacy Christian Church,1020 Keolu Dr,,Kailua,HI,96734,(808) 262-8021,,,https://www.facebook.com/HCOlomana/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Light and Salvation,"850 Kawaihao St, Unit 219",,Honolulu,HI,96813,(808) 947-4065,,,https://www.facebook.com/Light-and-Salvation-Church-115734858603457/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Lighthouse Outreach Center,94-230 Leokane St,,Waipahu,HI,96797,(808) 680-0823,,,https://www.wearelighthouse.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Maranatha Christian Church,127 Circle Mauka St,,Wahiawa,HI,96786,(808) 622-4401,,,https://www.facebook.com/maranathahawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
"Ohana, Family of the Living God",P.O. BOX 270,,Hauula,HI,96817,(808) 293-1950,,,http://www.ohanafamily.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Olivet Baptist Church,1775 S Beretania St,,Honolulu,HI,96826,(808) 946-6505,,,https://www.olivetbaptist.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Once A Month Church,,,Haleiwa,HI,96712,,,,facebook.com/pages/Once-A-Month-Church,,,,,,,,,,This organization is no longer active-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Our Lady of Good Counsel,1525 Waimano Home Rd,,Pearl City,HI,96782,(808) 455-3012,,,https://olgcchurch.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Our Lady of Kea`au,83-300 Farrington Hwy,,Waianae,HI,96792,(808) 696-7255,,,https://www.stfrancishawaii.org/services/our-lady-of-keaau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Our Lady of Perpetual Help,91-1004 N Rd,,Ewa Beach,HI,96706,(808) 689-0474,,,www.olphewabeach.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Our Lady of Sorrows Food Pantry,1403 California Ave # A,,Wahiawa,HI,96786,(808) 351-1911,,,https://www.olswahiawa.org/food-pantry.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Sacred Heart Outreach,85-786 Old Governmnet Road,,Waianae,HI,96792,(808) 936-8415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St- Elizabeth's Episcopal Church,720 N King Street,,Honolulu,HI,96817,(808) 845-2112,,,http://stelizabeth720.org/wordpress/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St- George Church,41-1323 Kalanianaʻole Hwy,,Waimanalo,HI,96795,(808) 259-7188,,,www.stgeorge96795.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St- John Catholic Church's Outreach Center,95-370 Kuahelani Avenue,,Mililani,HI,96789,(808) 623-3999,,,www.stjohnmililani.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St- Jude Catholic Church,92-455 Makakilo Drive,,Kapolei,HI,96707,(808) 672-8669,,,www.stjudehawaii.org/jude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St- Mark Lutheran Church Food Pantry,45-725 Kamehameha Hwy,,Kaneohe,HI,96744,(808) 247-4565,,,www.stmarkhawaii.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St- Matthew's Kokua Food Basket,41054 Ehukai St,,Waimanalo,HI,96795,(808) 259-8664,,,www.jsrsys.com/stmattshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St- Michael Church School,67-340 Haona St,,Waialua,HI,96791,(808) 637-7772,,,https://stsmichaelpeterpaul.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St- Philomena Catholic Community,3300 Ala Laulani St,,Honolulu,HI,96818,(808) 839-1876,,,https://www.stphilomenahawaii.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St- Pius xParish,2821 Lowrey Ave,,Honolulu,HI,96822,(808) 988-3308,,,https://www.facebook.com/saintpiusxmanoa/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St- Rita Church,89-318 Farrington Hwy,,Nanakuli,HI,96792,(808) 668-7833,,,https://www.stritananakuli.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Victory Outreach Church,875 Puu Kula Dr,,Pearl City,HI,96782,(808) 861-0068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Victory Samoan Assembly of God Church,1824 Hart St,,Honolulu,HI,96819,(808) 375-9929,,,https://www.facebook.com/VictoryAOGHawaii/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Ho`opono at Unity Church,3608 Diamond Head Cir,,Honolulu,HI,96815,(808) 735-4436,,,http://www.unityhawaii.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Honolulu Community College HINET,874 Dilingham Blvd Bldg 7 Room 319,,Honolulu,HI,96817,(808) 235-7320,,,https://hinethawaii.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
God Squad - Foursquare Church,91-240 Kuhela Street Unit 6,,Kapolei,HI,96707,(808) 682-0163,,,http://godsquadchurchhawaii.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Ps150,152 N Pauahi St,,Honolulu,HI,96817,(808) 699-4071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
River of Life Mission,101 N Pauahi St,,Honolulu,HI,96817,(808) 524-7656,,,https://riveroflifemission.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Salvation Army FSO,296 N Vineyard Blvd,,Honolulu,HI,96817,(808) 841-5565,,,https://hawaii.salvationarmy.org/hawaii/fso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Salvation Army Kauluwela Mission Corps,296 N Vineyard Blvd,,Honolulu,HI,96817,(808) 841-5565,,,https://hawaii.salvationarmy.org/hawaii/kauluwela_mission_corps_community_center_page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Surfing the Nations Wahiawa,69 Ohai St,,Wahiawa,HI,96786,,,,http://www.onelove.org/surfingthenations/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Susannah Wesley Community Center,1545 Linapuni St #108 Bldg B,,Honolulu,HI,96819,(808) 847-1535,,,https://www.susannahwesley.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
The Private Sector Hawaii,59-495 Alapio Road,,Haleiwa,HI,96712,(808) 638-9627,,,https://theprivatesectorhawaii.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
The Pantry by Feeding Hawaii,2522 Rose Street,,Honolulu,HI,96819,(808) 888-0778,,,https://thepantry.org/,,,,,,,,,,Online Food Shopping and Pick Up Avaialble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St Peter and Paul Catholic Church,800 Kaheka Street,,Honolulu,HI,96814,(808) 941-0675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
