name,address_1,address_2,city,state,zip,phone,latitude,longitude,website,fm_id,notes,created_date,created_login_id,modified_date,modified_login_id,submitted_date,submitted_login_id,requirements,admin_notes,inactive,parent_organization,physical_access,email,items,services,facebook,twitter,pinterest,linkedin,description,approved_date,reviewed_login_id,assigned_login_id,agency_type,assigned_date,review_notes,claimed_login_id,claimed_date,instagram,admin_contact_name,admin_contact_phone,admin_contact_email,donation_contact_name,donation_contact_phone,donation_contact_email,donation_pickup,donation_accept_frozen,donation_accept_refrigerated,donation_accept_perishable,donation_schedule,donation_delivery_instructions,covid_notes,donation_notes,category_notes,eligibility_notes,food_types,languages,v_name,v_categories,v_address,v_email,v_phone,v_hours,verification_status_id,inactive_temporary,hours,category_ids,neighborhood_id,complete_critical_percent,tenant_id
Lahaina Salvation Army- Lahainia Corps,135 Shaw St,,Lahaina,HI,96761,(808) 661-5335,20.86829285,-156.6741148,,,Thursday: 9 am - 1:30 pmThursday: 9 am - 1:30 pm,,,,,,,,"Need to bring verification of income, identification, and proof of emergency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Bank,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Legacy Christian Church,1020 Keolu Dr,,Kailua,HI,96734,(808) 262-8021,21.378042,-157.729447,https://www.facebook.com/HCOlomana/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Light and Salvation,"850 Kawaihao St, Unit 219",,Honolulu,HI,96813,(808) 947-4065,21.29956802,-157.854489,https://www.facebook.com/Light-and-Salvation-Church-115734858603457/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Lighthouse Outreach Center,94-230 Leokane St,,Waipahu,HI,96797,(808) 680-0823,21.3806675,-158.0200984,https://www.wearelighthouse.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Maranatha Christian Church,127 Circle Mauka St,,Wahiawa,HI,96786,(808) 622-4401,21.50770723,-158.0206533,https://www.facebook.com/maranathahawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Maui Food Bank,760 Kolu Street,,Wailuku,HI,96793, (808) 243-9500,20.90444848,-156.4865443,https://mauifoodbank.org/food-distribution/,,,,,,,,,,Works with other nonprofits for distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
"Ohana, Family of the Living God",P.O. BOX 270,,Hauula,HI,96817,(808) 293-1950,21.60878,-157.90909,http://www.ohanafamily.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Olivet Baptist Church,1775 S Beretania St,,Honolulu,HI,96826,(808) 946-6505,21.29759865,-157.8323582,https://www.olivetbaptist.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Once A Month Church,,,Haleiwa,HI,96712,,21.654325,-158.059745,facebook.com/pages/Once-A-Month-Church,,,,,,,,,,This organization is no longer active-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Our Lady of Good Counsel,1525 Waimano Home Rd,,Pearl City,HI,96782,(808) 455-3012,21.40516801,-157.964288,https://olgcchurch.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Our Lady of Kea`au,83-300 Farrington Hwy,,Waianae,HI,96792,(808) 696-7255,21.50243698,-158.224811,https://www.stfrancishawaii.org/services/our-lady-of-keaau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Our Lady of Perpetual Help,91-1004 N Rd,,Ewa Beach,HI,96706,(808) 689-0474,21.33516,-158.019325,www.olphewabeach.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Our Lady of Sorrows Food Pantry,1403 California Ave # A,,Wahiawa,HI,96786,(808) 351-1911,34.92074,-120.43314,https://www.olswahiawa.org/food-pantry.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Ps150,152 N Pauahi St,,Honolulu,HI,96817,(808) 699-4071,21.31343898,-157.861955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
River of Life Mission,101 N Pauahi St,,Honolulu,HI,96817,(808) 524-7656,21.31292869,-157.86227,https://riveroflifemission.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Sacred Heart Outreach,85-786 Old Governmnet Road,,Waianae,HI,96792,(808) 936-8415,21.44767549,-158.1883329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Salvation Army FSO,296 N Vineyard Blvd,,Honolulu,HI,96817,(808) 841-5565,21.31787099,-157.859878,https://hawaii.salvationarmy.org/hawaii/fso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Salvation Army Kauluwela Mission Corps,296 N Vineyard Blvd,,Honolulu,HI,96817,(808) 841-5565,21.31787099,-157.859878,https://hawaii.salvationarmy.org/hawaii/kauluwela_mission_corps_community_center_page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Salvation Army Kahului Corps Family Services,,,Kahului,HI,96732,808-877-6757,20.88588,-156.46488,,,Thursday: 9 am - 12pm (By appointment)-,,,,,,,,"Documentation Needed: Proof of identification, low income status, and residence required",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Save the FoodBasket (Gregory House Programs),"200 N Vineyard Blvd, Suite A310",,Honolulu,HI,96817,(808) 744-6377,21.31729302,-157.859517,http://gregoryhouse.org/save-the-foodbasket/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dinner for Free,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St. Johnʻs Episcopal Church,8992 Kula Hwy,,Kula ,HI,96790,(808) 878-1485,20.70724595,-156.3540839,http://stjohnsmaui.org/,,,,,,,,,,Must register and ID is required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St. Josephs Church Outreach Program,1294 Makawao Avenue,,Makawao,HI,96768,808-572-7652,20.85661034,-156.3083594,,,4th Thursday of every month: 9 am - 11:30 am,,,,,,,,"Need to bring verification of income and need to bring utility bill, etc-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St. Peter and Paul Catholic Church,800 Kaheka Street,,Honolulu,HI,96814,(808) 941-0675,21.29382562,-157.8391988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St. Elizabeth's Episcopal Church,720 N King Street,,Honolulu,HI,96817,(808) 845-2112,21.32095499,-157.866004,http://stelizabeth720.org/wordpress/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St. George Church,41-1323 Kalanianaʻole Hwy,,Waimanalo,HI,96795,(808) 259-7188,21.34706202,-157.715641,www.stgeorge96795.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St. John Catholic Church's Outreach Center,95-370 Kuahelani Avenue,,Mililani,HI,96789,(808) 623-3999,21.4574477,-158.0143479,www.stjohnmililani.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St. Jude Catholic Church,92-455 Makakilo Drive,,Kapolei,HI,96707,(808) 672-8669,21.34305773,-158.0785747,www.stjudehawaii.org/jude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St. Mark Lutheran Church Food Pantry,45-725 Kamehameha Hwy,,Kaneohe,HI,96744,(808) 247-4565,21.40804401,-157.798345,www.stmarkhawaii.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St. Matthew's Kokua Food Basket,41054 Ehukai St,,Waimanalo,HI,96795,(808) 259-8664,21.33933047,-157.702407,www.jsrsys.com/stmattshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St. Michael Church School,67-340 Haona St,,Waialua,HI,96791,(808) 637-7772,21.56860943,-158.1218898,https://stsmichaelpeterpaul.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St. Philomena Catholic Community,3300 Ala Laulani St,,Honolulu,HI,96818,(808) 839-1876,21.34656895,-157.9142954,https://www.stphilomenahawaii.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St. Pius xParish,2821 Lowrey Ave,,Honolulu,HI,96822,(808) 988-3308,21.31147041,-157.8090571,https://www.facebook.com/saintpiusxmanoa/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St. Rita Church,89-318 Farrington Hwy,,Nanakuli,HI,96792,(808) 668-7833,21.37722933,-158.1409105,https://www.stritananakuli.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Surfing the Nations Wahiawa,69 Ohai St,,Wahiawa,HI,96786,,21.49453606,-158.0301007,http://www.onelove.org/surfingthenations/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Susannah Wesley Community Center,1545 Linapuni St #108 Bldg B,,Honolulu,HI,96819,(808) 847-1535,21.33871038,-157.8754196,https://www.susannahwesley.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
The Pantry by Feeding Hawaii,2522 Rose Street,,Honolulu,HI,96819,(808) 888-0778,21.34251308,-157.881028,https://thepantry.org/,,,,,,,,,,Online Food Shopping and Pick Up Avaialble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
The Private Sector Hawaii,59-495 Alapio Road,,Haleiwa,HI,96712,(808) 638-9627,21.64806832,-158.0486355,https://theprivatesectorhawaii.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Victory Outreach Church,875 Puu Kula Dr,,Pearl City,HI,96782,(808) 861-0068,21.39536454,-157.9666069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Victory Samoan Assembly of God Church,1824 Hart St,,Honolulu,HI,96819,(808) 375-9929,21.32618077,-157.8826455,https://www.facebook.com/VictoryAOGHawaii/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Wailuku Church of God,2123 Kahookele Street,,Wailuku,HI,96793,(808) 264-0435,20.88250254,-156.5031982,http://www.cog-hawaii.org/churches/wailuku.htm,,,,,,,,,,"Serves Lahaina, Kihei, and Central areas on Maui-- * Make sure you check by calling the food pantry to confirm that they still are in operation and the hours as the hours have not changed-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Wailuku Union Church,327 S High Street,,Wailuku,HI,96793,808-244-9177,20.88409598,-156.5048287,,,Saturday: 8:30 am - 11:30 am,,,,,,,,"Must be a resident of Paia, Wailuku, or Kahului- Picture I-D- and proof of residency are required to receive assistance-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
