id,name,address1,address2,city,state,zip,phone,latitude,longitude,website,fmId,notes,requirements,adminNotes,inactive,parentOrganization,physicalAccess,email,items,services,facebook,twitter,pinterest,linkedin,description,approvedDate,reviewedLoginId,assignedLoginId,agencyType,assignedDate,reviewNotes,claimedLoginId,claimedDate,instagram,adminContactName,adminContactPhone,adminContactEmail,donationContactName,donationContactPhone,donationContactEmail,donationPickup,donationAcceptFrozen,donationAcceptRefrigerated,donationAcceptPerishable,donationSchedule,donationDeliveryInstructions,covidNotes,donationNotes,categoryNotes,eligibilityNotes,foodTypes,languages,confirmedName,confirmedCategories,confirmedAddress,confirmedPhone,confirmedEmail,confirmedHours,confirmedFoodTypes,verificationStatusId,inactiveTemporary,hours,selectedCategoryIds,neighborhoodId,completeCriticalPercent,foodBakery,foodDryGoods,foodProduce,foodDairy,foodPrepared,foodMeat
,Once A Month Church,66-437 Kamehameha Hwy,,Haleiwa,HI,96712,"808-637-3138 (o)
808-780-8037",,,,,,,,,,,,,Food pantry,https://www.facebook.com/OnceAMonthChurch/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,"(1, 4, 9:00:00, 13:00:00), (2, 4, 9:00:00, 13:00:00), (3, 4, 9:00:00, 13:00:00), (4, 4, 9:00:00, 13:00:00)",1,,,,,,,,
,Private Sector,59-495 Alapio Rd.,,Haleiwa,HI,96712,"808-638-9627 (o)
808-222-1690 (c)",,,,,,,,,,,,,Food pantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,,1,,,,,,,,
,"Ohana, Family of the Living God",54-058 Hauula Homestead Rd.,,Hauula,HI,96717,"808-232-2244 (o)
808-469-8640 (c)",,,http://www.ohanafamily.org/,,,,,,,,,,Meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meal,,,,,,,,,1,,,1,,,,,,,,
,St. Timothy's Episcopal Church,98-939 Moanalua Rd.,,Aiea,HI,96701,808-488-5747,,,https://www.sttimothysaiea.org/,,,,,,,,,,Food pantry,,,,,,,,,,,,,,https://www.instagram.com/sttimothysaiea,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,,1,,,,,,,,
,Our Lady of Good Counsel,1525 Waimano Home Rd.,,Pearl City,HI,96782,808-455-3012,,,https://olgcchurch.org/,,,,,,,,,,Food pantry,https://www.facebook.com/OLGCHI/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,"(1, 2, 9:00:00, 11:30:00), (1, 5, 9:00:00, 11:30:00), (2, 2, 9:00:00, 11:30:00), (2, 5, 9:00:00, 11:30:00), (3, 2, 9:00:00, 11:30:00), (3, 5, 9:00:00, 11:30:00), (4, 2, 9:00:00, 11:30:00), (4, 5, 9:00:00, 11:30:00)",1,,,,,,,,
,St. John's Outreach Center,95-370 Kuahelani Ave.,,Mililani,HI,96789,"808-623-3332 x 203
808-294-3045 (c)",,,https://www.stjohnmililani.org/services/outreach,,,,,,,,,,Food pantry,https://www.facebook.com/saintjohnmililani,http://twitter.com/JohnAEChurch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,,1,,,,,,,,
,Marantha Christian Church,127 Circle Mauka St.,,Wahiawa,HI,96786,808-391-5875,,,https://ag.org/church?g=761cd3c3-4eef-4650-932d-ce68c8766c30&d=False,,,,,,,,,,Food pantry,https://www.facebook.com/maranathahawaii/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,,1,,,,,,,,
,New Life Body of Christian Church,74 S. Kamehameha Hwy.,,Wahiawa,HI,96786,"808-622-6650 (o)
254-338-0763 (c)",,,http://www.newlifebodyofchrist.org/,,,,,,,,,,Food pantry,https://www.facebook.com/nlbchawaii/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,"(1, 3, 9:00:00, 12:00:00), (1, 5, 9:00:00, 12:00:00), (2, 3, 9:00:00, 12:00:00), (2, 5, 9:00:00, 12:00:00), (3, 3, 9:00:00, 12:00:00), (3, 5, 9:00:00, 12:00:00), (4, 3, 9:00:00, 12:00:00), (4, 5, 9:00:00, 12:00:00)",1,,,,,,,,
,Our Lady of Sorrows,1403 California Ave. #A,,Wahiawa,HI,96786,808-221-3900,,,https://www.olswahiawa.org/,,,,,,,,,,Food pantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,"(-1, 7, 9:00:00, 11:00:00)",1,,,,,,,,
,Surfing the Nations,64 Ohai St.,,Wahiawa,HI,96786,"808-622-6234 (o)
808-349-2371 (c)",,,https://stn.global/,,,,,,,,,,Food pantry,https://www.facebook.com/surfingthenations/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,"(1, 4, 13:00:00, 15:00:00),  (3, 4, 13:00:00, 15:00:00)",1,,,,,,,,
,St. Mark Lutheran Church,45-725 Kamehameha Hwy,,Kaneohe,HI,96744,"808-596-2771 (o)
808-778-7705 (c)",,,https://www.stmarkhawaii.org/,,,,,,,,,,Food pantry,https://www.facebook.com/stmarkhawaii.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,"(1, 7, 8:00:00, 10:00:00), (2, 7, 8:00:00, 10:00:00), (3, 7, 8:00:00, 10:00:00), (4, 7, 8:00:00, 10:00:00)",1,,,,,,,,
,St. George Church Outreach,41-132 Kalanianaole Hwy,,Waimanalo,HI,96795,"808-253-7188 (o)
808-341-5548",,,http://www.stgeorge96795.com/,,,,,,,,,,Food pantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,"(1, 3, 9:00:00, 12:00:00), (1, 5, 9:00:00, 12:00:00), (2, 3, 9:00:00, 12:00:00), (2, 5, 9:00:00, 12:00:00), (3, 3, 9:00:00, 12:00:00), (3, 5, 9:00:00, 12:00:00), (4, 3, 9:00:00, 12:00:00), (4, 5, 9:00:00, 12:00:00)",1,,,,,,,,
,Aloha Team Haleiwa,59-014 Kam. Hwy,,Haleiwa,HI,96712,406-550-3985,,,https://www.nhcohawaii.org/,,,,,,,,,,?,https://www.facebook.com/NHCOHaleiwa/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,1,,"(2, 7, 12:00, 13:30:00)",1,,,,,,,,
,St. Philomena Catholic Community,3300 Ala Laulani,,Honolulu,HI,96712,808-839-1876,,,https://www.stphilomenahawaii.org/,,,,,,,,,,Food pantry,https://www.facebook.com/stphilomenachurchhawaii/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,,1,,,,,,,,
,Victory Samoan Assembly of God,1824 Hart Street,,Honolulu,HI,,808-841-4302 / c 808-354-1722,,,https://www.facebook.com/VictoryAOGHawaii/,,,,,,,,,,Food pantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,,1,,,,,,,,
,Cedar Assembly of God,620 Waipa Lane,,Honolulu,HI,,808-373-0753 / c 808-221-7001,,,http://www.cedaraog.com/,,,,,,,,,,Meal,https://www.facebook.com/cedaraoghi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meal,,,,,,,,,1,,,1,,,,,,,,
,Hawai'i Cedar Church,,,Honolulu,HI,,808-232-8603,,,,,,,,,,,,,Food Pantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,,,,,,,1,,,1,,,,,,,,
,Kaumakapili Church,766 N King Street,,Honolulu,HI,,808-348-6328,,,http://www.kaumakapili.org/,,,,,,,,,,Food pantry,https://www.facebook.com/KaumakapiliChurch/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,,1,,,,,,,,
,*St. Elizabeth's Episcopal Church,720 N King Street,,Honolulu,HI,,808-845-2112 / c 808-673-8930,,,https://www.stelizabeth720.org/#/,,,,,,,,,,Meal,https://www.facebook.com/StElizabethsEpiscopalChurch/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meal,,,,,,,,,1,,,1,,,,,,,,
,Susannah Wesley Community Ctr,1117 Kaili Street,,Honolulu,HI,,808-847-1535 / c 808-554-1006,,,https://www.susannahwesley.org/,,,,,,,,,,Food pantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,"(1, 5, 12:00:00, 14:00:00), (1, 6, 12:00:00, 14:00:00), (2, 5, 12:00:00, 14:00:00), (2, 6, 12:00:00, 14:00:00), (3, 5, 12:00:00, 14:00:00), (3, 6, 12:00:00, 14:00:00), (4, 5, 12:00:00, 14:00:00), (4, 6, 12:00:00, 14:00:00)",1,,,,,,,,
,"Institute For Human Services, Inc. (NS Service Center)",916 Kaamahu Pl #A,,Honolulu,HI,,808-218-1315 / c 808-783-9082,,,https://ihshawaii.org/#modal,,,,,,,,,,Meal,https://www.facebook.com/ihshawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meal,,,,,,,,,1,,"(1, 1, '16:30:00', '19:30:00'),(1, 2, '16:30:00', '19:30:00'),(1, 3, '16:30:00', '19:30:00'),(1, 4, '16:30:00', '19:30:00'),(1, 5, '16:30:00', '19:30:00'),(1, 6, '16:30:00', '19:30:00'),(2, 1, '16:30:00', '19:30:00'),(2, 2, '16:30:00', '19:30:00'),(2, 3, '16:30:00', '19:30:00'),(2, 4, '16:30:00', '19:30:00'),(2, 5, '16:30:00', '19:30:00'),(2, 6, '16:30:00', '19:30:00'),(3, 1, '16:30:00', '19:30:00'),(3, 2, '16:30:00', '19:30:00'),(3, 3, '16:30:00', '19:30:00'),(3, 4, '16:30:00', '19:30:00'),(3, 5, '16:30:00', '19:30:00'),(3, 6, '16:30:00', '19:30:00'),(4, 1, '16:30:00', '19:30:00'),(4, 2, '16:30:00', '19:30:00'),(4, 3, '16:30:00', '19:30:00'),(4, 4, '16:30:00', '19:30:00'),(4, 5, '16:30:00', '19:30:00'),(4, 6, '16:30:00', '19:30:00')",1,,,,,,,,
,River of Life Mission,101 N Pauahi Street,,Honolulu,HI,,808-524-7656 / c 808-228-1170,,,https://riveroflifemission.org/,,,,,,,,,,Meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meal,,,,,,,,,1,,,1,,,,,,,,
,Salvation Army Family Service Office,296 N Vineyard Blvd,,Honolulu,HI,,808-800-4330 / c 808-308-0324,,,https://hawaii.salvationarmy.org/hawaii/fso,,,,,,,,,,Food pantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,,1,,,,,,,,
,Harbor Church Honolulu,423 Kamakee Street,,Honolulu,HI,,808-447-9269 / c 808-234-3717,,,https://harborhonolulu.org/,,,,,,,,,,Food pantry,https://www.facebook.com/harborhawaii/,,,,,,,,,,,,,https://www.instagram.com/harborchurchhonolulu/?hl=en,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,,1,,,,,,,,
,First United Methodist Church,1020 S Beretania Street,,Honolulu,HI,,210-837-3313,,,https://firstumchonolulu.org/,,,,,,,,,,Food pantry,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Ffirstumchonolulu%2F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,"(1, 1, '16:30:00', '19:30:00'),(1, 2, '16:30:00', '19:30:00'),(1, 3, '16:30:00', '19:30:00'),(1, 4, '16:30:00', '19:30:00'),(1, 5, '16:30:00', '19:30:00'),(1, 6, '16:30:00', '19:30:00'),(2, 1, '16:30:00', '19:30:00'),(2, 2, '16:30:00', '19:30:00'),(2, 3, '16:30:00', '19:30:00'),(2, 4, '16:30:00', '19:30:00'),(2, 5, '16:30:00', '19:30:00'),(2, 6, '16:30:00', '19:30:00'),(3, 1, '16:30:00', '19:30:00'),(3, 2, '16:30:00', '19:30:00'),(3, 3, '16:30:00', '19:30:00'),(3, 4, '16:30:00', '19:30:00'),(3, 5, '16:30:00', '19:30:00'),(3, 6, '16:30:00', '19:30:00'),(4, 1, '16:30:00', '19:30:00'),(4, 2, '16:30:00', '19:30:00'),(4, 3, '16:30:00', '19:30:00'),(4, 4, '16:30:00', '19:30:00'),(4, 5, '16:30:00', '19:30:00'),(4, 6, '16:30:00', '19:30:00'), (1, 3, '9:30:00', '11:30:00'),(1, 6, '9:30:00', '11:30:00'),(2, 3, '9:30:00', '11:30:00'),(2, 6, '9:30:00', '11:30:00'),(3, 3, '9:30:00', '11:30:00'),(3, 6, '9:30:00', '11:30:00'),(4, 3, '9:30:00', '11:30:00'),(4, 6, '9:30:00', '11:30:00')",1,,,,,,,,
,*Honolulu Central Seventh Day Adventist,2313 Nuuanu Avenue,,Honolulu,HI,,808-679-2050,,,https://www.honcentralsda.org/,,,,,,,,,,Food pantry,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fhoncentralsda%2F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,,1,,,,,,,,
,Olivet Baptist Church,1775 S Beretania Street,,Honolulu,HI,,808-946-6505,,,,,,,,,,,,,Food pantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,"(-1, 7, 9:00:00, 11:30:00)",1,,,,,,,,
,St. Pius X Parish,2821 Lowrey Avenue,,Honolulu,HI,,808-988-3308 / c 808-545-2020,,,https://stpiusxmanoa.com/,,,,,,,,,,Food pantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,"(1, 3, '10:00:00', '11:30:00'),(1, 4, '10:00:00', '11:30:00'),(1, 6, '10:00:00', '11:30:00'),(2, 3, '10:00:00', '11:30:00'),(2, 4, '10:00:00', '11:30:00'),(2, 6, '10:00:00', '11:30:00'),(3, 3, '10:00:00', '11:30:00'),(3, 4, '10:00:00', '11:30:00'),(3, 6, '10:00:00', '11:30:00'),(4, 3, '10:00:00', '11:30:00'),(4, 4, '10:00:00', '11:30:00'),(4, 6, '10:00:00', '11:30:00')",1,,,,,,,,
,"Angel Network Charities, Inc",5339 Kalanianaole Hwy,,Honolulu,HI,,808-377-1841 / c 808-551-3715,,,https://www.angelnetworkcharities.org/,,,,,,,,,,Food pantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,,1,,,,,,,,
,Touch A Heart,2214 N King St,,Honolulu,HI,,808-202-8555,,,https://www.touchahearthawaii.org/,,,,,,,,,,Meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meal,,,,,,,,,1,,,1,,,,,,,,
